Category: All categories,,
Week,alfredo pasta: (Orlando-Daytona Beach-Melbourne FL),Spaghetti and meatballs: (Orlando-Daytona Beach-Melbourne FL)
2017-02-05,18,18
2017-02-12,18,18
2017-02-19,0,17
2017-02-26,51,17
2017-03-05,0,0
2017-03-12,51,17
2017-03-19,0,36
2017-03-26,0,0
2017-04-02,17,17
2017-04-09,17,17
2017-04-16,0,0
2017-04-23,0,0
2017-04-30,0,18
2017-05-07,18,0
2017-05-14,38,0
2017-05-21,0,19
2017-05-28,19,0
2017-06-04,36,0
2017-06-11,0,0
2017-06-18,18,18
2017-06-25,19,0
2017-07-02,58,0
2017-07-09,20,0
2017-07-16,18,18
2017-07-23,18,0
2017-07-30,35,0
2017-08-06,0,0
2017-08-13,18,0
2017-08-20,35,17
2017-08-27,17,0
2017-09-03,16,0
2017-09-10,19,19
2017-09-17,17,0
2017-09-24,35,17
2017-10-01,17,0
2017-10-08,17,17
2017-10-15,0,18
2017-10-22,0,36
2017-10-29,18,0
2017-11-05,0,18
2017-11-12,37,37
2017-11-19,0,18
2017-11-26,0,0
2017-12-03,0,0
2017-12-10,54,0
2017-12-17,18,0
2017-12-24,37,18
2017-12-31,18,18
2018-01-07,51,17
2018-01-14,37,0
2018-01-21,0,0
2018-01-28,36,0
2018-02-04,71,0
2018-02-11,36,0
2018-02-18,18,0
2018-02-25,0,0
2018-03-04,18,0
2018-03-11,0,18
2018-03-18,37,18
2018-03-25,0,0
2018-04-01,50,0
2018-04-08,0,0
2018-04-15,17,0
2018-04-22,49,16
2018-04-29,17,17
2018-05-06,18,18
2018-05-13,53,0
2018-05-20,18,0
2018-05-27,37,0
2018-06-03,35,0
2018-06-10,100,0
2018-06-17,0,0
2018-06-24,35,0
2018-07-01,35,0
2018-07-08,17,0
2018-07-15,34,0
2018-07-22,0,0
2018-07-29,34,0
2018-08-05,17,0
2018-08-12,0,0
2018-08-19,0,0
2018-08-26,33,17
2018-09-02,50,0
2018-09-09,33,0
2018-09-16,51,17
2018-09-23,17,0
2018-09-30,17,0
2018-10-07,67,17
2018-10-14,0,17
2018-10-21,52,34
2018-10-28,0,0
2018-11-04,32,16
2018-11-11,34,17
2018-11-18,36,0
2018-11-25,17,0
2018-12-02,0,0
2018-12-09,0,0
2018-12-16,0,0
2018-12-23,36,18
2018-12-30,17,0
2019-01-06,0,0
2019-01-13,50,0
2019-01-20,0,16
2019-01-27,0,0
2019-02-03,0,33
2019-02-10,33,0
2019-02-17,0,17
2019-02-24,33,16
2019-03-03,33,0
2019-03-10,17,0
2019-03-17,29,29
2019-03-24,14,14
2019-03-31,14,14
2019-04-07,17,0
2019-04-14,0,0
2019-04-21,18,18
2019-04-28,18,0
2019-05-05,0,0
2019-05-12,56,19
2019-05-19,19,0
2019-05-26,19,0
2019-06-02,0,0
2019-06-09,18,18
2019-06-16,18,0
2019-06-23,18,0
2019-06-30,0,0
2019-07-07,18,0
2019-07-14,18,0
2019-07-21,18,0
2019-07-28,35,0
2019-08-04,0,0
2019-08-11,51,0
2019-08-18,0,17
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,17,0
2019-09-15,49,0
2019-09-22,33,0
2019-09-29,32,0
2019-10-06,15,0
2019-10-13,49,0
2019-10-20,0,0
2019-10-27,31,0
2019-11-03,64,0
2019-11-10,0,15
2019-11-17,34,34
2019-11-24,32,0
2019-12-01,15,0
2019-12-08,16,16
2019-12-15,0,0
2019-12-22,0,33
2019-12-29,0,16
2020-01-05,0,31
2020-01-12,30,0
2020-01-19,0,0
2020-01-26,46,0
2020-02-02,15,15
2020-02-09,30,15
2020-02-16,0,0
2020-02-23,0,15
2020-03-01,0,0
2020-03-08,14,29
2020-03-15,15,0
2020-03-22,57,14
2020-03-29,40,13
2020-04-05,0,28
2020-04-12,0,14
2020-04-19,54,13
2020-04-26,69,0
2020-05-03,14,14
2020-05-10,0,0
2020-05-17,27,0
2020-05-24,27,0
2020-05-31,14,0
2020-06-07,59,15
2020-06-14,0,0
2020-06-21,0,14
2020-06-28,15,15
2020-07-05,61,15
2020-07-12,0,0
2020-07-19,15,15
2020-07-26,16,16
2020-08-02,0,15
2020-08-09,0,15
2020-08-16,0,30
2020-08-23,15,31
2020-08-30,15,15
2020-09-06,14,14
2020-09-13,29,29
2020-09-20,14,14
2020-09-27,0,0
2020-10-04,47,16
2020-10-11,17,0
2020-10-18,33,0
2020-10-25,34,34
2020-11-01,27,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,17,0
2020-11-29,32,16
2020-12-06,49,16
2020-12-13,34,0
2020-12-20,52,0
2020-12-27,48,16
2021-01-03,47,0
2021-01-10,32,48
2021-01-17,32,16
2021-01-24,33,17
2021-01-31,0,0
2021-02-07,32,32
2021-02-14,16,0
2021-02-21,17,17
2021-02-28,0,17
2021-03-07,16,0
2021-03-14,75,45
2021-03-21,15,31
2021-03-28,63,0
2021-04-04,16,16
2021-04-11,31,16
2021-04-18,16,0
2021-04-25,0,16
2021-05-02,0,0
2021-05-09,16,16
2021-05-16,33,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,16,16
2021-06-13,0,62
2021-06-20,46,31
2021-06-27,15,0
2021-07-04,61,15
2021-07-11,46,0
2021-07-18,16,47
2021-07-25,49,32
2021-08-01,16,0
2021-08-08,31,16
2021-08-15,31,0
2021-08-22,48,16
2021-08-29,33,0
2021-09-05,17,17
2021-09-12,17,0
2021-09-19,17,17
2021-09-26,34,0
2021-10-03,13,13
2021-10-10,11,0
2021-10-17,35,12
2021-10-24,23,0
2021-10-31,24,12
2021-11-07,35,0
2021-11-14,23,0
2021-11-21,0,0
2021-11-28,22,11
2021-12-05,0,0
2021-12-12,24,0
2021-12-19,24,12
2021-12-26,45,0
2022-01-02,23,0
2022-01-09,11,11
2022-01-16,0,0
2022-01-23,22,11
