Category: All categories,,
Week,alfredo pasta: (Tampa-St. Petersburg (Sarasota) FL),Spaghetti and meatballs: (Tampa-St. Petersburg (Sarasota) FL)
2017-02-05,0,30
2017-02-12,0,0
2017-02-19,30,60
2017-02-26,29,0
2017-03-05,0,29
2017-03-12,30,0
2017-03-19,31,0
2017-03-26,31,0
2017-04-02,0,30
2017-04-09,31,0
2017-04-16,0,0
2017-04-23,0,0
2017-04-30,0,0
2017-05-07,0,0
2017-05-14,0,36
2017-05-21,0,0
2017-05-28,0,0
2017-06-04,100,33
2017-06-11,0,0
2017-06-18,0,0
2017-06-25,35,0
2017-07-02,0,0
2017-07-09,34,0
2017-07-16,34,0
2017-07-23,69,34
2017-07-30,0,0
2017-08-06,66,0
2017-08-13,100,0
2017-08-20,32,33
2017-08-27,0,32
2017-09-03,0,60
2017-09-10,78,0
2017-09-17,0,0
2017-09-24,33,0
2017-10-01,32,32
2017-10-08,32,0
2017-10-15,32,65
2017-10-22,65,33
2017-10-29,65,66
2017-11-05,0,0
2017-11-12,31,31
2017-11-19,33,0
2017-11-26,30,30
2017-12-03,30,0
2017-12-10,32,32
2017-12-17,31,32
2017-12-24,0,0
2017-12-31,0,30
2018-01-07,29,29
2018-01-14,30,0
2018-01-21,29,30
2018-01-28,0,0
2018-02-04,0,29
2018-02-11,29,29
2018-02-18,0,58
2018-02-25,29,29
2018-03-04,29,29
2018-03-11,29,58
2018-03-18,29,0
2018-03-25,0,60
2018-04-01,29,0
2018-04-08,0,29
2018-04-15,0,29
2018-04-22,58,29
2018-04-29,0,0
2018-05-06,0,30
2018-05-13,30,0
2018-05-20,90,0
2018-05-27,31,0
2018-06-03,31,0
2018-06-10,0,30
2018-06-17,61,31
2018-06-24,0,0
2018-07-01,64,0
2018-07-08,0,30
2018-07-15,31,0
2018-07-22,31,0
2018-07-29,0,62
2018-08-05,31,0
2018-08-12,93,62
2018-08-19,94,63
2018-08-26,61,0
2018-09-02,31,92
2018-09-09,0,0
2018-09-16,61,62
2018-09-23,0,0
2018-09-30,0,31
2018-10-07,0,0
2018-10-14,0,0
2018-10-21,94,0
2018-10-28,0,32
2018-11-04,0,0
2018-11-11,0,0
2018-11-18,0,32
2018-11-25,29,0
2018-12-02,60,0
2018-12-09,0,30
2018-12-16,0,30
2018-12-23,32,0
2018-12-30,30,30
2019-01-06,30,30
2019-01-13,0,29
2019-01-20,56,0
2019-01-27,0,28
2019-02-03,0,0
2019-02-10,28,28
2019-02-17,55,55
2019-02-24,0,25
2019-03-03,23,0
2019-03-10,46,23
2019-03-17,80,27
2019-03-24,58,0
2019-03-31,57,29
2019-04-07,29,29
2019-04-14,29,0
2019-04-21,0,30
2019-04-28,30,0
2019-05-05,0,0
2019-05-12,0,0
2019-05-19,31,62
2019-05-26,0,31
2019-06-02,30,30
2019-06-09,0,0
2019-06-16,61,0
2019-06-23,0,0
2019-06-30,0,0
2019-07-07,29,30
2019-07-14,0,0
2019-07-21,62,0
2019-07-28,0,0
2019-08-04,30,0
2019-08-11,29,30
2019-08-18,29,0
2019-08-25,0,27
2019-09-01,0,52
2019-09-08,27,0
2019-09-15,82,0
2019-09-22,56,28
2019-09-29,28,28
2019-10-06,27,83
2019-10-13,82,0
2019-10-20,27,0
2019-10-27,82,0
2019-11-03,0,0
2019-11-10,53,0
2019-11-17,27,0
2019-11-24,28,28
2019-12-01,52,26
2019-12-08,53,0
2019-12-15,0,26
2019-12-22,27,0
2019-12-29,0,0
2020-01-05,76,51
2020-01-12,47,0
2020-01-19,0,0
2020-01-26,0,49
2020-02-02,24,0
2020-02-09,24,49
2020-02-16,47,23
2020-02-23,0,0
2020-03-01,23,0
2020-03-08,68,23
2020-03-15,45,0
2020-03-22,0,45
2020-03-29,43,21
2020-04-05,65,0
2020-04-12,83,0
2020-04-19,42,21
2020-04-26,22,22
2020-05-03,22,0
2020-05-10,22,0
2020-05-17,44,22
2020-05-24,0,0
2020-05-31,22,44
2020-06-07,22,22
2020-06-14,0,0
2020-06-21,0,24
2020-06-28,24,48
2020-07-05,48,0
2020-07-12,0,0
2020-07-19,49,0
2020-07-26,24,49
2020-08-02,24,24
2020-08-09,24,24
2020-08-16,24,0
2020-08-23,0,0
2020-08-30,23,0
2020-09-06,24,24
2020-09-13,45,0
2020-09-20,47,0
2020-09-27,48,0
2020-10-04,24,0
2020-10-11,0,0
2020-10-18,52,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,76
2020-11-22,27,0
2020-11-29,0,0
2020-12-06,24,0
2020-12-13,25,25
2020-12-20,27,0
2020-12-27,0,0
2021-01-03,24,0
2021-01-10,47,24
2021-01-17,0,24
2021-01-24,47,24
2021-01-31,24,24
2021-02-07,46,46
2021-02-14,24,0
2021-02-21,48,24
2021-02-28,71,24
2021-03-07,24,24
2021-03-14,0,23
2021-03-21,47,24
2021-03-28,71,24
2021-04-04,0,24
2021-04-11,0,24
2021-04-18,48,0
2021-04-25,24,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,50,0
2021-05-23,25,0
2021-05-30,26,0
2021-06-06,0,51
2021-06-13,0,25
2021-06-20,51,26
2021-06-27,51,0
2021-07-04,0,0
2021-07-11,26,0
2021-07-18,51,52
2021-07-25,0,52
2021-08-01,25,26
2021-08-08,51,26
2021-08-15,75,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,54,27
2021-09-12,77,26
2021-09-19,0,0
2021-09-26,27,0
2021-10-03,41,0
2021-10-10,19,0
2021-10-17,0,0
2021-10-24,0,18
2021-10-31,18,37
2021-11-07,37,0
2021-11-14,36,0
2021-11-21,0,38
2021-11-28,35,18
2021-12-05,0,0
2021-12-12,54,0
2021-12-19,77,19
2021-12-26,18,0
2022-01-02,18,0
2022-01-09,17,17
2022-01-16,52,17
2022-01-23,52,0
