City,pizza_feb_17_to_jan_22,sushi_feb_17_to_jan_22,pasta_feb_17_jan_22,vegetarian_feb_17_to_jan_22,seafood_feb_17_to_jan_22
Islamorada,,,,,
North Key Largo,0.58,0.14,0.07,0.01,0.20
Marathon,0.49,0.07,0.05,0.02,0.37
Lauderdale-by-the-Sea,,,,,
Key West,0.51,0.08,0.09,0.02,0.30
Lighthouse Point,0.59,0.16,0.09,0.01,0.15
Miami Beach,0.50,0.24,0.09,0.02,0.15
Wilton Manors,,,,,
Dania Beach,0.60,0.12,0.10,0.02,0.16
Florida City,,,,,
Key Biscayne,,,,,
Parkland,,,,,
West Perrine,,,,,
Coral Terrace,,,,,
Coral Springs,0.63,0.15,0.12,0.03,0.07
Fort Lauderdale,0.58,0.16,0.10,0.02,0.14
Coconut Creek,0.62,0.15,0.12,0.02,0.09
Pompano Beach,0.63,0.13,0.09,0.03,0.12
Deerfield Beach,0.61,0.15,0.11,0.03,0.10
Margate,0.66,0.11,0.11,0.02,0.10
Hialeah,0.62,0.16,0.09,0.02,0.11
Plantation,0.61,0.15,0.11,0.03,0.10
Pinewood,,,,,
South Miami,0.56,0.24,0.10,0.02,0.08
Hallandale Beach,0.56,0.21,0.11,0.02,0.10
North Lauderdale,0.64,0.10,0.13,0.03,0.10
Leisure City,,,,,
Westwood Lakes,,,,,
Hollywood,0.59,0.17,0.10,0.03,0.11
Davie,0.60,0.15,0.12,0.03,0.10
Miami,0.56,0.20,0.12,0.02,0.10
Oakland Park,0.61,0.17,0.08,0.03,0.11
Three Lakes,0.65,0.18,0.09,,0.08
Westchester,0.61,0.20,0.10,,0.09
Homestead,0.64,0.14,0.10,0.02,0.10
South Miami Heights,0.63,0.16,0.11,0.01,0.09
Kendall,0.52,0.26,0.11,0.04,0.07
The Crossings,0.57,0.20,0.11,0.03,0.09
Sunrise,0.62,0.12,0.11,0.02,0.13
Gladeview,,,,,
Goulds,0.57,0.15,0.12,0.03,0.13
Country Club,0.63,0.18,0.10,0.02,0.07
Aventura,0.50,0.26,0.11,0.02,0.11
Kendall West,0.58,0.23,0.11,0.02,0.06
Kendale Lakes,0.60,0.22,0.12,0.01,0.05
Pembroke Pines,0.58,0.17,0.12,0.03,0.10
Miami Gardens,0.61,0.11,0.10,0.03,0.15
Golden Glades,0.60,0.15,0.10,0.04,0.11
West Little River,0.63,0.11,0.08,0.02,0.16
Richmond West,0.62,0.18,0.10,0.02,0.08
North Miami,0.52,0.24,0.12,0.03,0.09
Homestead Base,,,,,
Coral Gables,0.50,0.25,0.14,0.03,0.08
The Hammocks,0.55,0.21,0.16,0.02,0.06
Miami Lakes,0.67,0.15,0.08,0.03,0.07
Miami Shores,,,,,
Country Walk,,,,,
Palmetto Estates,0.52,0.21,0.13,0.03,0.11
Tamiami,0.59,0.20,0.12,0.02,0.07
Ojus,,,,,
North Miami Beach,0.55,0.21,0.11,0.03,0.10
Princeton,0.58,0.17,0.11,0.02,0.12
Glenvar Heights,,,,,
Hialeah Gardens,,,,,
Miami Springs,0.59,0.17,0.10,0.02,0.12
Medley,,,,,
Pinecrest,0.52,0.25,0.14,0.03,0.06
Weston,0.56,0.18,0.14,0.05,0.07
Lauderhill,,,,,
University Park,0.56,0.22,0.13,0.04,0.05
Fontainebleau,,,,,
Miramar,,,,,
Doral,,,,,
Westview,,,,,
Ives Estates,,,,,
Cutler Bay,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
