Category: All categories,,,,,
,,,,,
Week,Pizza: (Miami-Ft. Lauderdale FL),Sushi: (Miami-Ft. Lauderdale FL),Pasta: (Miami-Ft. Lauderdale FL),vegetarian: (Miami-Ft. Lauderdale FL),Seafood: (Miami-Ft. Lauderdale FL)
1/31/21,72,43,38,7,25
2/7/21,98,37,38,6,21
2/14/21,83,38,35,8,32
2/21/21,85,30,31,4,37
2/28/21,75,36,30,4,28
3/7/21,84,29,27,5,27
3/14/21,86,42,28,8,34
3/21/21,80,39,34,5,37
3/28/21,99,31,31,10,47
4/4/21,87,37,30,8,29
4/11/21,78,26,29,4,28
4/18/21,100,26,33,6,26
4/25/21,71,28,34,5,32
5/2/21,78,25,29,6,32
5/9/21,75,33,31,6,31
5/16/21,82,40,27,5,33
5/23/21,86,32,24,6,28
5/30/21,74,39,30,6,23
6/6/21,91,37,21,2,37
6/13/21,86,40,30,2,31
6/20/21,97,29,23,8,37
6/27/21,89,30,25,8,27
7/4/21,90,31,27,7,26
7/11/21,74,27,28,7,26
7/18/21,85,28,30,9,36
7/25/21,94,33,32,9,33
8/1/21,82,35,33,5,31
8/8/21,85,27,38,4,18
8/15/21,83,40,22,5,28
8/22/21,66,40,32,5,26
8/29/21,72,24,25,7,17
9/5/21,75,35,33,3,37
9/12/21,84,29,32,8,23
9/19/21,67,29,25,7,26
9/26/21,85,22,24,3,28
10/3/21,77,28,26,5,19
10/10/21,80,23,24,3,22
10/17/21,71,26,24,3,19
10/24/21,70,28,29,5,17
10/31/21,83,28,21,3,18
11/7/21,61,32,25,6,17
11/14/21,73,30,19,4,18
11/21/21,77,21,29,3,17
11/28/21,73,28,21,3,16
12/5/21,79,27,20,2,21
12/12/21,70,22,24,5,18
12/19/21,96,28,18,3,20
12/26/21,88,35,23,5,30
1/2/22,81,35,19,4,22
1/9/22,79,31,20,4,15
1/16/22,73,28,25,5,21
1/23/22,87,27,24,5,19
