Category: All categories,,,,,
,,,,,
Week,Pizza: (Orlando-Daytona Beach-Melbourne FL),Sushi: (Orlando-Daytona Beach-Melbourne FL),Pasta: (Orlando-Daytona Beach-Melbourne FL),vegetarian: (Orlando-Daytona Beach-Melbourne FL),Seafood: (Orlando-Daytona Beach-Melbourne FL)
1/31/21,69,15,28,7,21
2/7/21,79,19,25,9,24
2/14/21,84,22,22,7,27
2/21/21,84,22,28,6,31
2/28/21,81,20,28,7,35
3/7/21,84,17,20,4,29
3/14/21,78,23,17,8,39
3/21/21,75,16,23,6,34
3/28/21,78,21,24,5,33
4/4/21,85,21,18,4,41
4/11/21,91,22,21,4,36
4/18/21,75,17,25,5,32
4/25/21,77,17,20,4,35
5/2/21,78,24,20,4,33
5/9/21,70,24,22,7,32
5/16/21,81,15,21,2,27
5/23/21,80,23,24,6,26
5/30/21,90,18,23,3,32
6/6/21,80,23,15,6,40
6/13/21,100,21,20,4,34
6/20/21,76,22,19,6,36
6/27/21,83,16,29,4,34
7/4/21,95,24,23,7,42
7/11/21,80,23,21,5,33
7/18/21,89,23,20,4,39
7/25/21,75,23,22,3,36
8/1/21,69,17,19,5,33
8/8/21,72,14,18,2,26
8/15/21,95,30,26,5,25
8/22/21,66,25,24,5,23
8/29/21,75,19,24,8,18
9/5/21,85,22,21,3,28
9/12/21,68,17,25,5,25
9/19/21,75,18,21,5,19
9/26/21,78,23,25,7,20
10/3/21,68,18,10,6,21
10/10/21,86,25,16,3,19
10/17/21,69,17,21,4,17
10/24/21,74,17,15,<1,14
10/31/21,72,20,13,5,16
11/7/21,74,21,14,4,16
11/14/21,67,17,16,4,21
11/21/21,71,18,13,5,21
11/28/21,58,15,16,2,15
12/5/21,82,21,19,2,17
12/12/21,64,17,20,3,22
12/19/21,80,16,19,7,21
12/26/21,89,26,16,4,20
1/2/22,76,22,20,3,21
1/9/22,78,22,13,5,21
1/16/22,79,18,19,4,17
1/23/22,77,16,16,4,21
