Week,pizza_feb_17_jan_22,sushi_feb_17_jan_22,pasta_feb_17_jan_22,vegetarian_feb_17_jan_22,seafood_feb_17_jan_22
2/5/17,71,10,7,2,14
2/12/17,70,14,9,2,13
2/19/17,62,11,8,2,22
2/26/17,67,10,7,3,26
3/5/17,75,13,10,2,20
3/12/17,73,12,8,3,16
3/19/17,68,15,9,5,22
3/26/17,65,12,7,4,17
4/2/17,71,11,11,4,15
4/9/17,67,16,10,3,14
4/16/17,65,11,8,3,13
4/23/17,62,10,7,2,12
4/30/17,71,13,9,3,12
5/7/17,66,12,7,2,15
5/14/17,69,11,10,2,16
5/21/17,72,12,8,2,15
5/28/17,82,12,9,3,21
6/4/17,73,13,10,2,18
6/11/17,77,13,7,3,22
6/18/17,69,13,7,2,22
6/25/17,72,11,8,4,19
7/2/17,86,10,8,3,25
7/9/17,77,13,9,4,22
7/16/17,82,14,8,2,20
7/23/17,77,11,11,5,15
7/30/17,73,12,9,3,17
8/6/17,71,15,7,4,17
8/13/17,66,13,14,6,15
8/20/17,65,9,8,3,16
8/27/17,62,14,7,2,11
9/3/17,64,9,7,2,9
9/10/17,100,12,7,2,8
9/17/17,65,9,11,2,12
9/24/17,63,8,10,3,11
10/1/17,57,10,8,5,10
10/8/17,71,11,5,5,13
10/15/17,53,12,8,4,13
10/22/17,61,11,7,3,16
10/29/17,67,9,6,4,11
11/5/17,68,12,9,4,9
11/12/17,68,13,7,3,12
11/19/17,63,8,7,3,10
11/26/17,58,8,8,4,9
12/3/17,57,7,7,3,10
12/10/17,69,7,14,3,11
12/17/17,70,13,9,4,15
12/24/17,73,12,9,4,16
12/31/17,75,13,8,4,12
1/7/18,63,14,10,3,11
1/14/18,69,13,9,4,13
1/21/18,59,13,12,5,12
1/28/18,70,12,7,3,13
2/4/18,70,11,9,3,15
2/11/18,67,15,9,5,22
2/18/18,61,8,9,2,16
2/25/18,70,14,11,4,16
3/4/18,68,13,6,4,20
3/11/18,69,11,12,3,18
