Week,pizza_feb_17_jan_22,sushi_feb_17_jan_22,pasta_feb_17_jan_22,vegetarian_feb_17_jan_22,seafood_feb_17_jan_22
2/5/17,62,7,7,3,10
2/12/17,59,7,7,2,11
2/19/17,52,8,8,2,10
2/26/17,53,12,7,3,10
3/5/17,59,9,7,3,13
3/12/17,58,10,8,3,12
3/19/17,57,5,7,2,19
3/26/17,58,10,4,1,12
4/2/17,62,7,7,3,10
4/9/17,58,7,7,2,11
4/16/17,51,8,6,3,13
4/23/17,57,5,8,1,13
4/30/17,53,7,6,3,7
5/7/17,60,11,8,2,13
5/14/17,58,12,6,2,12
5/21/17,64,9,7,2,10
5/28/17,57,8,6,3,11
6/4/17,58,7,8,3,11
6/11/17,59,9,7,1,10
6/18/17,63,11,7,2,10
6/25/17,61,9,7,1,13
7/2/17,75,9,7,3,11
7/9/17,64,9,9,3,14
7/16/17,59,9,6,2,14
7/23/17,63,10,9,3,11
7/30/17,60,9,10,5,9
8/6/17,53,9,9,2,6
8/13/17,49,11,5,4,7
8/20/17,52,11,7,3,8
8/27/17,61,8,9,1,9
9/3/17,51,6,4,1,6
9/10/17,100,6,7,2,5
9/17/17,56,10,8,2,9
9/24/17,55,8,9,2,9
10/1/17,45,7,5,4,9
10/8/17,52,8,9,2,9
10/15/17,54,7,6,2,10
10/22/17,62,9,6,2,15
10/29/17,53,7,6,3,13
11/5/17,48,6,9,2,7
11/12/17,55,8,7,2,9
11/19/17,51,8,6,4,11
11/26/17,49,6,5,3,6
12/3/17,51,9,7,1,11
12/10/17,52,7,5,3,8
12/17/17,59,9,8,3,11
12/24/17,68,8,7,6,12
12/31/17,71,10,6,6,8
1/7/18,54,9,9,2,9
1/14/18,58,9,7,3,12
1/21/18,52,6,5,2,11
1/28/18,58,7,6,3,13
2/4/18,60,8,6,1,9
2/11/18,56,11,8,3,12
2/18/18,51,8,6,3,10
2/25/18,55,8,6,2,13
3/4/18,51,10,6,3,15
3/11/18,58,7,6,2,13
3/18/18,56,8,5,3,12
3/25/18,58,8,9,3,12
4/1/18,64,8,9,2,11
4/8/18,57,8,8,2,12
4/15/18,58,9,8,2,10
4/22/18,60,8,7,1,11
4/29/18,60,8,8,3,13
5/6/18,55,10,7,2,10
5/13/18,54,9,7,3,9
5/20/18,62,8,9,3,9
5/27/18,56,8,7,2,11
6/3/18,59,7,7,2,12
6/10/18,55,11,9,2,13
6/17/18,52,7,6,3,9
6/24/18,65,9,9,1,12
7/1/18,66,11,6,3,12
7/8/18,66,9,8,3,13
7/15/18,64,10,10,2,13
7/22/18,68,10,7,3,12
7/29/18,59,9,7,2,13
8/5/18,62,8,7,2,12
8/12/18,60,9,7,2,11
8/19/18,53,7,8,3,8
8/26/18,52,8,8,3,11
9/2/18,60,8,8,3,7
9/9/18,52,11,5,1,8
9/16/18,54,9,9,2,8
9/23/18,53,7,9,2,8
9/30/18,50,8,7,2,7
10/7/18,45,6,6,2,11
10/14/18,50,9,9,3,12
10/21/18,53,6,7,3,12
10/28/18,57,8,6,2,9
11/4/18,45,5,7,4,11
11/11/18,57,8,6,3,8
11/18/18,53,5,6,3,8
11/25/18,54,8,8,3,9
12/2/18,57,7,7,2,10
12/9/18,51,8,7,4,7
12/16/18,54,8,7,2,9
12/23/18,74,9,6,3,14
12/30/18,66,12,6,4,10
1/6/19,49,9,8,2,10
1/13/19,51,8,8,3,14
1/20/19,56,9,8,3,13
1/27/19,60,9,8,4,13
2/3/19,65,8,8,3,12
2/10/19,63,10,9,3,19
2/17/19,58,9,7,2,13
2/24/19,60,8,9,2,14
3/3/19,58,10,6,2,16
3/10/19,66,9,8,2,16
3/17/19,66,8,5,2,14
3/24/19,67,9,6,2,13
3/31/19,61,9,6,2,13
4/7/19,63,9,9,2,10
4/14/19,56,11,6,2,12
4/21/19,61,11,5,2,14
4/28/19,58,9,7,4,12
5/5/19,49,7,6,2,13
5/12/19,53,11,9,2,14
5/19/19,57,8,7,1,14
5/26/19,60,10,6,1,14
6/2/19,59,9,10,1,13
6/9/19,57,8,8,1,10
6/16/19,55,8,9,3,14
6/23/19,60,9,9,2,16
6/30/19,67,9,9,2,15
7/7/19,58,9,9,3,12
7/14/19,62,12,7,2,12
7/21/19,54,8,9,3,11
7/28/19,64,9,7,2,11
8/4/19,61,8,9,2,9
8/11/19,59,7,9,2,11
8/18/19,53,8,9,2,6
8/25/19,41,6,8,1,6
9/1/19,47,8,10,2,9
9/8/19,52,7,7,2,7
9/15/19,59,8,8,1,8
9/22/19,56,9,8,3,9
9/29/19,47,7,9,2,10
10/6/19,57,7,8,3,10
10/13/19,51,8,6,3,12
10/20/19,51,9,9,3,12
10/27/19,58,8,8,4,10
11/3/19,48,6,8,3,12
11/10/19,54,7,7,3,10
11/17/19,50,8,7,3,8
11/24/19,43,8,5,3,10
12/1/19,45,7,7,2,8
12/8/19,47,8,8,2,12
12/15/19,51,5,6,2,9
12/22/19,63,12,8,3,12
12/29/19,62,9,10,4,14
1/5/20,49,8,8,3,9
1/12/20,52,6,6,3,15
1/19/20,54,8,10,3,14
1/26/20,51,6,8,3,10
2/2/20,49,7,7,3,13
2/9/20,54,10,8,2,13
2/16/20,57,10,8,3,12
2/23/20,55,9,9,3,12
3/1/20,54,9,8,3,14
3/8/20,48,7,8,2,11
3/15/20,52,7,10,2,8
3/22/20,57,5,9,2,6
3/29/20,51,6,10,2,3
4/5/20,59,7,10,3,8
4/12/20,62,6,10,3,5
4/19/20,57,8,9,1,6
4/26/20,62,8,11,2,9
5/3/20,58,8,11,2,9
5/10/20,61,10,8,2,11
5/17/20,61,11,11,2,11
5/24/20,58,14,10,2,12
5/31/20,53,9,10,2,9
6/7/20,51,10,9,2,9
6/14/20,53,14,8,2,13
6/21/20,57,12,10,1,12
6/28/20,68,7,8,3,14
7/5/20,59,12,10,2,11
7/12/20,51,11,11,3,10
7/19/20,64,12,11,2,19
7/26/20,57,11,10,2,13
8/2/20,56,9,9,2,10
8/9/20,55,10,11,3,12
8/16/20,49,12,11,2,9
8/23/20,50,9,9,3,8
8/30/20,50,9,6,2,9
9/6/20,49,11,8,2,11
9/13/20,51,11,7,2,9
9/20/20,51,10,9,4,10
9/27/20,53,9,6,2,9
10/4/20,44,7,10,1,8
10/11/20,52,9,9,1,10
10/18/20,44,9,9,2,9
10/25/20,50,8,8,2,7
11/1/20,37,7,5,2,6
11/8/20,47,9,7,2,6
11/15/20,48,8,11,2,8
11/22/20,47,9,8,3,12
11/29/20,52,9,9,1,6
12/6/20,51,9,7,2,9
12/13/20,55,8,9,1,10
12/20/20,59,10,9,3,15
12/27/20,68,13,8,2,15
1/3/21,47,10,10,2,9
1/10/21,49,11,10,2,11
1/17/21,50,7,10,3,12
1/24/21,50,8,9,2,9
1/31/21,47,10,10,1,9
2/7/21,60,7,10,2,12
