Category: All categories,,,,,
,,,,,
Week,Pizza: (Tampa-St. Petersburg (Sarasota) FL),Sushi: (Tampa-St. Petersburg (Sarasota) FL),Pasta: (Tampa-St. Petersburg (Sarasota) FL),vegetarian: (Tampa-St. Petersburg (Sarasota) FL),Seafood: (Tampa-St. Petersburg (Sarasota) FL)
1/31/21,76,15,25,7,19
2/7/21,93,14,28,7,24
2/14/21,97,26,41,7,22
2/21/21,82,22,29,7,19
2/28/21,80,16,29,5,21
3/7/21,80,21,30,4,27
3/14/21,83,16,21,3,29
3/21/21,88,23,24,7,27
3/28/21,81,20,27,8,30
4/4/21,85,19,22,4,29
4/11/21,78,18,28,5,26
4/18/21,77,17,17,6,25
4/25/21,81,23,14,5,26
5/2/21,71,24,26,12,26
5/9/21,81,22,26,4,30
5/16/21,68,24,25,5,30
5/23/21,80,22,31,4,32
5/30/21,80,26,19,6,36
6/6/21,91,12,28,7,33
6/13/21,72,19,26,7,28
6/20/21,73,17,20,4,31
6/27/21,84,24,27,6,30
7/4/21,81,19,22,7,31
7/11/21,72,24,23,6,29
7/18/21,78,24,25,5,27
7/25/21,77,20,26,4,27
8/1/21,80,24,26,7,26
8/8/21,71,17,20,6,22
8/15/21,84,22,17,4,19
8/22/21,85,18,24,8,20
8/29/21,73,19,25,7,16
9/5/21,79,20,23,5,24
9/12/21,88,16,28,6,18
9/19/21,67,18,25,3,22
9/26/21,74,16,22,5,25
10/3/21,69,17,19,6,22
10/10/21,71,17,16,3,13
10/17/21,65,25,19,3,18
10/24/21,68,13,19,3,16
10/31/21,74,12,19,5,17
11/7/21,80,16,16,8,27
11/14/21,72,22,20,6,15
11/21/21,74,20,15,5,20
11/28/21,77,20,18,5,19
12/5/21,73,16,19,3,19
12/12/21,74,21,20,4,18
12/19/21,84,19,19,2,26
12/26/21,100,28,18,5,28
1/2/22,90,23,20,4,14
1/9/22,74,17,18,4,23
1/16/22,80,22,22,4,27
1/23/22,75,22,20,5,25
