Week,ceviche_Miami_Ft_Lauderdale_FL,salmon_Miami_Ft_Lauderdale_FL
2/5/2017,35,56
2/12/2017,21,50
2/19/2017,19,45
2/26/2017,20,45
3/5/2017,39,54
3/12/2017,36,36
3/19/2017,30,30
3/26/2017,29,49
4/2/2017,29,46
4/9/2017,44,50
4/16/2017,36,44
4/23/2017,27,41
4/30/2017,32,54
5/7/2017,49,40
5/14/2017,48,33
5/21/2017,24,42
5/28/2017,45,39
6/4/2017,15,49
6/11/2017,36,59
6/18/2017,32,32
6/25/2017,34,49
7/2/2017,61,51
7/9/2017,18,58
7/16/2017,58,42
7/23/2017,67,75
7/30/2017,36,54
8/6/2017,27,80
8/13/2017,19,25
8/20/2017,25,56
8/27/2017,40,48
9/3/2017,12,23
9/10/2017,32,8
9/17/2017,33,33
9/24/2017,15,38
10/1/2017,32,34
10/8/2017,41,26
10/15/2017,12,38
10/22/2017,34,28
10/29/2017,32,47
11/5/2017,29,37
11/12/2017,17,58
11/19/2017,42,56
11/26/2017,17,49
12/3/2017,39,36
12/10/2017,35,26
12/17/2017,26,61
12/24/2017,22,50
12/31/2017,37,54
1/7/2018,35,58
1/14/2018,35,63
1/21/2018,22,57
1/28/2018,22,51
2/4/2018,41,54
2/11/2018,25,51
2/18/2018,30,38
2/25/2018,25,69
3/4/2018,42,50
3/11/2018,35,40
3/18/2018,41,55
3/25/2018,32,69
4/1/2018,38,54
4/8/2018,25,50
4/15/2018,26,54
4/22/2018,25,39
4/29/2018,35,43
5/6/2018,37,43
5/13/2018,28,55
5/20/2018,25,56
5/27/2018,29,57
6/3/2018,43,56
6/10/2018,42,56
6/17/2018,29,32
6/24/2018,35,31
7/1/2018,42,56
7/8/2018,41,49
7/15/2018,18,48
7/22/2018,33,64
7/29/2018,23,52
8/5/2018,38,70
8/12/2018,24,60
8/19/2018,9,57
8/26/2018,20,40
9/2/2018,32,41
9/9/2018,20,56
9/16/2018,21,58
9/23/2018,26,60
9/30/2018,17,63
10/7/2018,29,43
10/14/2018,23,43
10/21/2018,27,53
10/28/2018,18,59
11/4/2018,19,46
11/11/2018,40,63
11/18/2018,30,48
11/25/2018,8,25
12/2/2018,20,39
12/9/2018,22,53
12/16/2018,28,28
12/23/2018,40,52
12/30/2018,39,41
1/6/2019,22,43
1/13/2019,16,58
1/20/2019,42,49
1/27/2019,38,70
2/3/2019,24,61
2/10/2019,34,52
2/17/2019,19,37
2/24/2019,34,45
3/3/2019,25,46
3/10/2019,22,49
3/17/2019,29,48
3/24/2019,15,63
3/31/2019,40,57
4/7/2019,29,43
4/14/2019,14,74
4/21/2019,35,63
4/28/2019,23,63
5/5/2019,40,37
5/12/2019,15,52
5/19/2019,26,29
5/26/2019,21,41
6/2/2019,28,51
6/9/2019,35,43
6/16/2019,25,42
6/23/2019,20,79
