Week,Aloo_Gobi,Salad
2/5/2017,15,75
2/12/2017,15,45
2/19/2017,15,50
2/26/2017,15,52
3/5/2017,15,67
3/12/2017,15,50
3/19/2017,15,81
3/26/2017,15,61
4/2/2017,15,49
4/9/2017,15,35
4/16/2017,15,54
4/23/2017,15,39
4/30/2017,15,46
5/7/2017,15,72
5/14/2017,15,64
5/21/2017,15,71
5/28/2017,15,64
6/4/2017,15,60
6/11/2017,15,73
6/18/2017,15,44
6/25/2017,15,54
7/2/2017,15,64
7/9/2017,15,63
7/16/2017,15,66
7/23/2017,15,49
7/30/2017,15,52
8/6/2017,15,67
8/13/2017,15,70
8/20/2017,15,53
8/27/2017,15,49
9/3/2017,15,40
9/10/2017,15,37
9/17/2017,17,58
9/24/2017,15,46
10/1/2017,15,47
10/8/2017,15,64
10/15/2017,15,58
10/22/2017,15,48
10/29/2017,15,42
11/5/2017,15,56
11/12/2017,15,45
11/19/2017,15,91
11/26/2017,15,45
12/3/2017,15,50
12/10/2017,15,39
12/17/2017,15,77
12/24/2017,15,53
12/31/2017,15,43
1/7/2018,15,56
1/14/2018,15,70
1/21/2018,15,47
1/28/2018,15,44
2/4/2018,15,54
2/11/2018,15,66
2/18/2018,17,60
2/25/2018,15,59
3/4/2018,15,52
3/11/2018,15,35
3/18/2018,15,70
3/25/2018,15,74
4/1/2018,15,63
4/8/2018,15,61
4/15/2018,15,67
4/22/2018,15,63
4/29/2018,15,49
5/6/2018,15,66
5/13/2018,15,45
5/20/2018,15,53
5/27/2018,15,48
6/3/2018,15,69
6/10/2018,15,60
6/17/2018,15,53
6/24/2018,15,73
7/1/2018,15,99
7/8/2018,15,52
7/15/2018,15,63
7/22/2018,15,79
7/29/2018,15,56
8/5/2018,15,49
8/12/2018,17,66
8/19/2018,15,54
8/26/2018,15,52
9/2/2018,15,58
9/9/2018,15,42
9/16/2018,15,49
9/23/2018,15,32
9/30/2018,15,45
10/7/2018,15,57
10/14/2018,15,56
10/21/2018,15,59
10/28/2018,15,69
11/4/2018,17,49
11/11/2018,15,54
11/18/2018,15,100
11/25/2018,15,39
12/2/2018,15,49
12/9/2018,15,47
12/16/2018,15,49
12/23/2018,15,69
12/30/2018,15,64
1/6/2019,15,54
1/13/2019,17,50
1/20/2019,15,47
1/27/2019,15,57
2/3/2019,15,53
2/10/2019,15,59
2/17/2019,15,53
2/24/2019,15,69
3/3/2019,17,47
3/10/2019,15,46
3/17/2019,15,71
3/24/2019,15,56
3/31/2019,15,68
4/7/2019,15,64
4/14/2019,15,64
4/21/2019,15,74
4/28/2019,15,41
5/5/2019,15,52
5/12/2019,17,64
5/19/2019,15,65
5/26/2019,15,74
6/2/2019,15,69
6/9/2019,15,54
6/16/2019,15,61
6/23/2019,17,85
6/30/2019,15,96
7/7/2019,15,80
7/14/2019,15,71
7/21/2019,15,60
7/28/2019,15,70
8/4/2019,15,58
8/11/2019,15,60
8/18/2019,15,66
8/25/2019,15,48
9/1/2019,15,57
9/8/2019,15,56
9/15/2019,15,63
9/22/2019,15,53
9/29/2019,15,57
10/6/2019,15,69
10/13/2019,17,62
10/20/2019,15,51
10/27/2019,15,46
11/3/2019,15,65
11/10/2019,15,61
11/17/2019,15,59
11/24/2019,15,85
12/1/2019,17,50
12/8/2019,17,46
12/15/2019,15,50
12/22/2019,15,82
12/29/2019,15,57
1/5/2020,15,46
1/12/2020,16,56
1/19/2020,16,57
1/26/2020,15,48
2/2/2020,15,46
2/9/2020,15,48
2/16/2020,15,58
2/23/2020,15,50
3/1/2020,15,45
3/8/2020,15,35
3/15/2020,15,43
3/22/2020,15,51
3/29/2020,15,43
4/5/2020,15,57
4/12/2020,15,64
4/19/2020,15,63
4/26/2020,16,78
5/3/2020,15,67
5/10/2020,16,67
5/17/2020,15,72
5/24/2020,15,65
5/31/2020,16,52
6/7/2020,15,85
6/14/2020,15,64
6/21/2020,15,65
6/28/2020,15,97
7/5/2020,18,66
7/12/2020,15,70
7/19/2020,15,80
7/26/2020,15,71
8/2/2020,15,63
8/9/2020,15,53
8/16/2020,15,77
8/23/2020,15,66
8/30/2020,15,51
9/6/2020,15,41
9/13/2020,15,63
9/20/2020,15,47
9/27/2020,15,50
10/4/2020,15,54
10/11/2020,15,34
10/18/2020,15,40
10/25/2020,15,64
11/1/2020,15,38
11/8/2020,15,51
11/15/2020,15,62
11/22/2020,15,83
11/29/2020,15,56
12/6/2020,15,30
12/13/2020,15,39
12/20/2020,15,66
12/27/2020,15,66
1/3/2021,15,71
1/10/2021,15,55
1/17/2021,17,64
1/24/2021,15,57
1/31/2021,15,75
2/7/2021,15,46
2/14/2021,17,51
2/21/2021,15,66
2/28/2021,15,75
3/7/2021,15,59
3/14/2021,15,50
3/21/2021,15,51
3/28/2021,15,65
4/4/2021,15,78
4/11/2021,15,40
4/18/2021,15,48
4/25/2021,15,59
5/2/2021,15,67
5/9/2021,15,59
5/16/2021,15,53
5/23/2021,15,65
5/30/2021,15,50
6/6/2021,15,48
6/13/2021,15,75
6/20/2021,15,75
6/27/2021,15,99
7/4/2021,15,69
7/11/2021,15,57
7/18/2021,15,59
7/25/2021,15,56
8/1/2021,15,65
8/8/2021,15,54
8/15/2021,15,63
8/22/2021,15,55
8/29/2021,15,40
9/5/2021,15,61
9/12/2021,15,50
9/19/2021,15,51
9/26/2021,15,66
10/3/2021,15,44
10/10/2021,15,45
10/17/2021,15,38
10/24/2021,15,36
10/31/2021,15,27
11/7/2021,15,52
11/14/2021,15,44
11/21/2021,15,66
11/28/2021,16,30
12/5/2021,15,49
12/12/2021,15,42
12/19/2021,15,48
12/26/2021,16,47
1/2/2022,15,46
1/9/2022,15,37
1/16/2022,15,49
1/23/2022,15,46
