Week,ceviche_Orlando_Daytona_Beach_Melbourne_FL,salmon_Orlando_Daytona_Beach_Melbourne_FL
2/5/2017,10,42
2/12/2017,13,76
2/19/2017,6,40
2/26/2017,12,56
3/5/2017,9,43
3/12/2017,3,37
3/19/2017,19,38
3/26/2017,15,58
4/2/2017,12,57
4/9/2017,9,37
4/16/2017,3,29
4/23/2017,10,19
4/30/2017,7,37
5/7/2017,15,49
5/14/2017,14,37
5/21/2017,10,52
5/28/2017,17,38
6/4/2017,15,40
6/11/2017,10,73
6/18/2017,13,78
6/25/2017,10,68
7/2/2017,10,38
7/9/2017,4,56
7/16/2017,3,96
7/23/2017,7,77
7/30/2017,3,61
8/6/2017,9,60
8/13/2017,20,60
8/20/2017,9,62
8/27/2017,6,47
9/3/2017,3,53
9/10/2017,0,21
9/17/2017,16,63
9/24/2017,6,50
10/1/2017,9,49
10/8/2017,6,28
10/15/2017,6,28
10/22/2017,6,42
10/29/2017,3,36
11/5/2017,0,45
11/12/2017,10,43
11/19/2017,13,25
11/26/2017,15,53
12/3/2017,22,32
12/10/2017,6,39
12/17/2017,15,26
12/24/2017,10,47
12/31/2017,10,38
1/7/2018,6,43
1/14/2018,13,72
1/21/2018,3,53
1/28/2018,7,39
2/4/2018,6,26
2/11/2018,26,74
2/18/2018,19,54
2/25/2018,15,63
3/4/2018,3,88
3/11/2018,3,44
3/18/2018,7,43
3/25/2018,6,78
4/1/2018,15,36
4/8/2018,6,63
4/15/2018,12,63
4/22/2018,6,51
4/29/2018,3,53
5/6/2018,3,67
5/13/2018,3,61
5/20/2018,3,46
5/27/2018,7,56
6/3/2018,3,32
6/10/2018,3,51
6/17/2018,21,58
6/24/2018,3,59
7/1/2018,13,44
7/8/2018,9,63
7/15/2018,9,59
7/22/2018,12,81
7/29/2018,6,53
8/5/2018,10,64
8/12/2018,3,74
8/19/2018,18,76
8/26/2018,6,52
9/2/2018,9,48
9/9/2018,0,54
9/16/2018,6,49
9/23/2018,3,46
9/30/2018,15,58
10/7/2018,15,45
10/14/2018,6,51
