Week,Aloo_Gobi,Salad
2/5/2017,15,44
2/12/2017,15,42
2/19/2017,16,54
2/26/2017,15,48
3/5/2017,15,45
3/12/2017,15,49
3/19/2017,15,42
3/26/2017,16,48
4/2/2017,15,52
4/9/2017,15,67
4/16/2017,16,62
4/23/2017,15,48
4/30/2017,15,55
5/7/2017,15,50
5/14/2017,15,38
5/21/2017,15,62
5/28/2017,15,75
6/4/2017,15,48
6/11/2017,15,57
6/18/2017,16,57
6/25/2017,15,65
7/2/2017,16,82
7/9/2017,16,63
7/16/2017,15,46
7/23/2017,15,51
7/30/2017,15,62
8/6/2017,15,43
8/13/2017,15,47
8/20/2017,15,42
8/27/2017,15,43
9/3/2017,15,27
9/10/2017,15,39
9/17/2017,15,39
9/24/2017,15,38
10/1/2017,15,54
10/8/2017,15,47
10/15/2017,15,44
10/22/2017,15,39
10/29/2017,15,38
11/5/2017,15,51
11/12/2017,15,42
11/19/2017,15,63
11/26/2017,15,48
12/3/2017,15,48
12/10/2017,15,39
12/17/2017,16,55
12/24/2017,15,43
12/31/2017,15,38
1/7/2018,15,36
1/14/2018,15,41
1/21/2018,15,45
1/28/2018,15,47
2/4/2018,15,44
2/11/2018,15,43
2/18/2018,15,69
2/25/2018,15,46
3/4/2018,15,43
3/11/2018,15,43
3/18/2018,15,56
3/25/2018,15,72
4/1/2018,15,64
4/8/2018,15,55
4/15/2018,15,48
4/22/2018,15,60
4/29/2018,16,63
5/6/2018,15,40
5/13/2018,15,67
5/20/2018,15,58
5/27/2018,15,59
6/3/2018,15,53
6/10/2018,15,62
6/17/2018,15,54
6/24/2018,15,63
7/1/2018,15,66
7/8/2018,15,52
7/15/2018,15,60
7/22/2018,15,52
7/29/2018,15,40
8/5/2018,15,67
8/12/2018,15,51
8/19/2018,15,44
8/26/2018,15,38
9/2/2018,15,63
9/9/2018,15,48
9/16/2018,15,53
9/23/2018,15,36
9/30/2018,15,44
10/7/2018,15,39
10/14/2018,15,42
10/21/2018,15,45
10/28/2018,15,33
11/4/2018,15,36
11/11/2018,15,51
11/18/2018,15,71
11/25/2018,15,50
12/2/2018,15,42
12/9/2018,15,42
12/16/2018,15,50
12/23/2018,15,43
12/30/2018,16,58
1/6/2019,15,63
1/13/2019,15,50
1/20/2019,15,51
1/27/2019,15,53
2/3/2019,15,34
2/10/2019,15,50
2/17/2019,15,50
2/24/2019,16,59
3/3/2019,15,41
3/10/2019,15,48
3/17/2019,15,47
3/24/2019,15,51
