Category: All categories,,
Week,Pepperoni pizza: (Orlando-Daytona Beach-Melbourne FL),supreme pizza: (Orlando-Daytona Beach-Melbourne FL)
2017-02-05,22,0
2017-02-12,0,0
2017-02-19,0,0
2017-02-26,0,0
2017-03-05,0,0
2017-03-12,0,0
2017-03-19,0,0
2017-03-26,20,0
2017-04-02,0,0
2017-04-09,40,0
2017-04-16,0,0
2017-04-23,64,0
2017-04-30,22,0
2017-05-07,0,0
2017-05-14,45,0
2017-05-21,0,0
2017-05-28,0,23
2017-06-04,43,22
2017-06-11,0,0
2017-06-18,22,22
2017-06-25,67,0
2017-07-02,23,0
2017-07-09,47,0
2017-07-16,43,0
2017-07-23,0,0
2017-07-30,64,21
2017-08-06,21,64
2017-08-13,0,0
2017-08-20,21,0
2017-08-27,41,0
2017-09-03,39,0
2017-09-10,23,0
2017-09-17,0,0
2017-09-24,0,0
2017-10-01,20,0
2017-10-08,0,0
2017-10-15,0,21
2017-10-22,0,0
2017-10-29,0,0
2017-11-05,0,0
2017-11-12,0,22
2017-11-19,0,0
2017-11-26,0,0
2017-12-03,41,0
2017-12-10,22,0
2017-12-17,22,0
2017-12-24,0,0
2017-12-31,0,0
2018-01-07,20,0
2018-01-14,22,0
2018-01-21,22,0
2018-01-28,22,0
2018-02-04,21,0
2018-02-11,65,0
2018-02-18,21,21
2018-02-25,0,0
2018-03-04,42,0
2018-03-11,21,0
2018-03-18,0,0
2018-03-25,21,0
2018-04-01,0,0
2018-04-08,0,0
2018-04-15,0,0
2018-04-22,0,20
2018-04-29,20,0
2018-05-06,0,0
2018-05-13,0,21
2018-05-20,22,22
2018-05-27,22,0
2018-06-03,21,0
2018-06-10,0,0
2018-06-17,0,0
2018-06-24,41,21
2018-07-01,41,0
2018-07-08,0,0
2018-07-15,0,0
2018-07-22,20,0
2018-07-29,21,62
2018-08-05,0,0
2018-08-12,20,0
2018-08-19,41,0
2018-08-26,20,0
2018-09-02,20,0
2018-09-09,20,0
2018-09-16,20,0
2018-09-23,40,0
2018-09-30,20,40
2018-10-07,0,0
2018-10-14,0,0
2018-10-21,41,0
2018-10-28,21,0
2018-11-04,0,0
2018-11-11,0,41
2018-11-18,21,0
2018-11-25,0,0
2018-12-02,22,0
2018-12-09,0,0
2018-12-16,20,0
