Week,ceviche: (Tampa-St. Petersburg (Sarasota) FL),salmon: (Tampa-St. Petersburg (Sarasota) FL)
2/5/2017,15,52
2/12/2017,9,42
2/19/2017,6,55
2/26/2017,11,66
3/5/2017,6,53
3/12/2017,0,53
3/19/2017,3,65
3/26/2017,9,37
4/2/2017,3,48
4/9/2017,15,52
4/16/2017,0,40
4/23/2017,6,38
4/30/2017,3,51
5/7/2017,7,23
5/14/2017,3,66
5/21/2017,7,49
5/28/2017,7,49
6/4/2017,7,50
6/11/2017,3,43
6/18/2017,7,33
6/25/2017,7,27
7/2/2017,11,43
7/9/2017,10,82
7/16/2017,7,44
7/23/2017,7,94
7/30/2017,6,42
8/6/2017,7,42
8/13/2017,3,50
8/20/2017,3,48
8/27/2017,0,22
9/3/2017,12,29
9/10/2017,4,23
9/17/2017,7,55
9/24/2017,0,48
10/1/2017,13,41
10/8/2017,6,79
10/15/2017,3,42
10/22/2017,0,48
10/29/2017,10,58
11/5/2017,3,28
11/12/2017,3,49
11/19/2017,6,32
11/26/2017,3,48
12/3/2017,3,33
12/10/2017,3,47
12/17/2017,3,44
12/24/2017,0,54
12/31/2017,3,48
1/7/2018,6,52
1/14/2018,9,41
1/21/2018,6,35
1/28/2018,6,63
2/4/2018,6,43
2/11/2018,9,38
2/18/2018,6,57
2/25/2018,3,71
3/4/2018,3,57
3/11/2018,3,23
3/18/2018,9,49
3/25/2018,6,53
4/1/2018,6,52
4/8/2018,6,37
4/15/2018,3,49
4/22/2018,9,52
4/29/2018,6,45
5/6/2018,6,36
5/13/2018,0,60
5/20/2018,9,78
5/27/2018,0,46
6/3/2018,15,40
6/10/2018,6,29
6/17/2018,9,52
6/24/2018,3,34
7/1/2018,9,56
7/8/2018,6,60
7/15/2018,6,62
7/22/2018,6,61
7/29/2018,6,40
8/5/2018,3,45
8/12/2018,3,55
8/19/2018,3,31
8/26/2018,3,24
9/2/2018,9,64
9/9/2018,9,48
9/16/2018,9,67
9/23/2018,0,59
9/30/2018,6,37
10/7/2018,3,38
10/14/2018,6,28
10/21/2018,6,46
10/28/2018,9,40
11/4/2018,0,34
11/11/2018,9,57
11/18/2018,13,35
11/25/2018,9,35
12/2/2018,0,54
12/9/2018,9,42
12/16/2018,6,48
12/23/2018,3,58
12/30/2018,12,63
1/6/2019,3,58
1/13/2019,6,52
1/20/2019,3,47
1/27/2019,3,48
2/3/2019,8,36
2/10/2019,3,47
2/17/2019,0,44
2/24/2019,2,69
3/3/2019,5,72
3/10/2019,0,34
3/17/2019,8,53
3/24/2019,0,68
3/31/2019,6,29
4/7/2019,6,43
4/14/2019,0,81
4/21/2019,9,76
4/28/2019,3,50
5/5/2019,15,42
5/12/2019,9,33
5/19/2019,3,61
5/26/2019,9,52
6/2/2019,9,27
6/9/2019,15,51
6/16/2019,6,70
6/23/2019,6,54
6/30/2019,12,43
7/7/2019,9,70
7/14/2019,3,65
7/21/2019,3,64
7/28/2019,3,73
8/4/2019,9,69
8/11/2019,3,61
8/18/2019,9,47
8/25/2019,5,65
9/1/2019,10,46
9/8/2019,3,35
9/15/2019,8,47
9/22/2019,14,44
9/29/2019,3,36
10/6/2019,0,44
10/13/2019,3,52
10/20/2019,3,46
10/27/2019,3,30
11/3/2019,5,32
11/10/2019,5,62
11/17/2019,0,48
11/24/2019,6,50
12/1/2019,3,39
12/8/2019,3,24
12/15/2019,10,34
12/22/2019,0,43
12/29/2019,12,75
1/5/2020,2,48
1/12/2020,0,40
1/19/2020,0,59
1/26/2020,10,60
2/2/2020,0,38
2/9/2020,5,50
2/16/2020,5,56
2/23/2020,7,68
3/1/2020,0,61
3/8/2020,0,67
3/15/2020,4,52
3/22/2020,2,65
3/29/2020,2,66
4/5/2020,4,54
4/12/2020,0,60
4/19/2020,4,81
4/26/2020,9,77
5/3/2020,6,75
5/10/2020,9,82
5/17/2020,11,71
5/24/2020,4,53
5/31/2020,2,58
6/7/2020,9,75
6/14/2020,9,62
6/21/2020,9,74
6/28/2020,2,76
7/5/2020,10,67
7/12/2020,10,63
7/19/2020,12,77
7/26/2020,2,82
8/2/2020,14,100
8/9/2020,7,92
8/16/2020,10,65
8/23/2020,5,67
8/30/2020,7,62
9/6/2020,5,49
9/13/2020,2,55
9/20/2020,12,68
9/27/2020,5,53
10/4/2020,12,100
10/11/2020,10,56
10/18/2020,3,43
10/25/2020,8,48
11/1/2020,0,31
11/8/2020,2,58
11/15/2020,10,53
11/22/2020,13,48
11/29/2020,10,29
12/6/2020,2,34
12/13/2020,5,42
12/20/2020,8,69
12/27/2020,7,77
1/3/2021,2,65
1/10/2021,5,59
1/17/2021,5,52
1/24/2021,7,67
1/31/2021,0,57
2/7/2021,0,57
2/14/2021,2,58
2/21/2021,9,78
2/28/2021,5,59
3/7/2021,12,69
3/14/2021,11,67
3/21/2021,5,49
3/28/2021,7,63
4/4/2021,7,42
4/11/2021,2,52
4/18/2021,9,62
4/25/2021,12,45
5/2/2021,7,51
5/9/2021,2,46
5/16/2021,7,39
5/23/2021,8,58
5/30/2021,13,59
6/6/2021,0,80
6/13/2021,10,49
6/20/2021,5,51
6/27/2021,0,58
7/4/2021,10,40
7/11/2021,8,46
7/18/2021,13,54
7/25/2021,8,53
8/1/2021,3,56
8/8/2021,13,93
8/15/2021,10,43
8/22/2021,0,29
8/29/2021,0,49
9/5/2021,3,54
9/12/2021,10,41
9/19/2021,13,45
9/26/2021,3,64
10/3/2021,2,32
10/10/2021,0,46
10/17/2021,5,46
10/24/2021,7,25
10/31/2021,4,33
11/7/2021,5,41
11/14/2021,4,52
11/21/2021,2,53
11/28/2021,5,42
12/5/2021,4,34
12/12/2021,2,33
12/19/2021,4,42
12/26/2021,5,41
1/2/2022,3,33
1/9/2022,9,41
1/16/2022,2,39
1/23/2022,10,50
