Week,Alfredo_Pasta,Spaghetti_Meatballs
2/5/2017,15,30
2/12/2017,15,15
2/19/2017,30,60
2/26/2017,29,15
3/5/2017,15,29
3/12/2017,30,15
3/19/2017,31,15
3/26/2017,31,15
4/2/2017,15,30
4/9/2017,31,15
4/16/2017,15,15
4/23/2017,15,15
4/30/2017,15,15
5/7/2017,15,15
5/14/2017,15,36
5/21/2017,15,15
5/28/2017,15,15
6/4/2017,100,33
6/11/2017,15,15
6/18/2017,15,15
6/25/2017,35,15
7/2/2017,0,15
7/9/2017,34,15
7/16/2017,34,15
7/23/2017,69,34
7/30/2017,15,15
8/6/2017,66,15
8/13/2017,100,15
8/20/2017,32,33
8/27/2017,15,32
9/3/2017,15,60
9/10/2017,78,15
9/17/2017,15,15
9/24/2017,33,15
10/1/2017,32,32
10/8/2017,32,15
10/15/2017,32,65
10/22/2017,65,33
10/29/2017,65,66
11/5/2017,15,15
11/12/2017,31,31
11/19/2017,33,15
11/26/2017,30,30
12/3/2017,30,15
12/10/2017,32,32
12/17/2017,31,32
12/24/2017,15,15
12/31/2017,15,30
1/7/2018,29,29
1/14/2018,30,15
1/21/2018,29,30
1/28/2018,15,15
2/4/2018,15,29
2/11/2018,29,29
2/18/2018,15,58
2/25/2018,29,29
3/4/2018,29,29
3/11/2018,29,58
3/18/2018,29,15
3/25/2018,15,60
4/1/2018,29,15
4/8/2018,15,29
4/15/2018,15,29
4/22/2018,58,29
4/29/2018,15,15
5/6/2018,15,30
5/13/2018,30,15
5/20/2018,90,15
5/27/2018,31,15
6/3/2018,31,15
6/10/2018,15,30
6/17/2018,61,31
6/24/2018,15,15
7/1/2018,64,15
7/8/2018,15,30
7/15/2018,31,15
7/22/2018,31,15
7/29/2018,15,62
8/5/2018,31,15
8/12/2018,93,62
8/19/2018,94,63
8/26/2018,61,15
9/2/2018,31,92
9/9/2018,15,15
9/16/2018,61,62
9/23/2018,15,15
9/30/2018,15,31
10/7/2018,15,15
10/14/2018,15,15
10/21/2018,94,15
10/28/2018,15,32
11/4/2018,15,15
11/11/2018,15,15
11/18/2018,15,32
11/25/2018,29,15
12/2/2018,60,15
12/9/2018,15,30
12/16/2018,15,30
12/23/2018,32,15
12/30/2018,30,30
1/6/2019,30,30
1/13/2019,15,29
1/20/2019,56,15
1/27/2019,15,28
2/3/2019,15,15
2/10/2019,28,28
2/17/2019,55,55
2/24/2019,15,25
3/3/2019,23,15
3/10/2019,46,23
3/17/2019,80,27
3/24/2019,58,15
3/31/2019,57,29
4/7/2019,29,29
4/14/2019,29,15
4/21/2019,15,30
4/28/2019,30,15
5/5/2019,15,15
5/12/2019,15,15
5/19/2019,31,62
5/26/2019,15,31
6/2/2019,30,30
6/9/2019,15,15
6/16/2019,61,15
6/23/2019,15,15
6/30/2019,15,15
7/7/2019,29,30
7/14/2019,15,15
7/21/2019,62,15
7/28/2019,15,15
8/4/2019,30,15
8/11/2019,29,30
8/18/2019,29,15
8/25/2019,15,27
9/1/2019,15,52
9/8/2019,27,15
9/15/2019,82,15
9/22/2019,56,28
9/29/2019,28,28
10/6/2019,27,83
10/13/2019,82,15
10/20/2019,27,15
10/27/2019,82,15
11/3/2019,0,15
11/10/2019,53,15
11/17/2019,27,15
11/24/2019,28,28
12/1/2019,52,26
12/8/2019,53,15
12/15/2019,15,26
12/22/2019,27,15
12/29/2019,15,15
1/5/2020,76,51
1/12/2020,47,15
1/19/2020,15,15
1/26/2020,15,49
2/2/2020,24,15
2/9/2020,24,49
2/16/2020,47,23
2/23/2020,15,15
3/1/2020,23,15
3/8/2020,68,23
3/15/2020,45,15
3/22/2020,15,45
3/29/2020,43,21
4/5/2020,65,15
4/12/2020,83,15
4/19/2020,42,21
4/26/2020,22,22
5/3/2020,22,15
5/10/2020,22,15
5/17/2020,44,22
5/24/2020,15,15
5/31/2020,22,44
6/7/2020,22,22
6/14/2020,15,15
6/21/2020,15,24
6/28/2020,24,48
7/5/2020,48,15
7/12/2020,15,15
7/19/2020,49,15
7/26/2020,24,49
8/2/2020,24,24
8/9/2020,24,24
8/16/2020,24,15
8/23/2020,15,15
8/30/2020,23,15
9/6/2020,24,24
9/13/2020,45,15
9/20/2020,47,15
9/27/2020,48,15
10/4/2020,24,15
10/11/2020,15,15
10/18/2020,52,15
10/25/2020,15,15
11/1/2020,15,15
11/8/2020,15,15
11/15/2020,15,76
11/22/2020,27,15
11/29/2020,15,15
12/6/2020,24,15
12/13/2020,25,25
12/20/2020,27,15
12/27/2020,15,15
1/3/2021,24,15
1/10/2021,47,24
1/17/2021,15,24
1/24/2021,47,24
1/31/2021,24,24
2/7/2021,46,46
2/14/2021,24,15
2/21/2021,48,24
2/28/2021,71,24
3/7/2021,24,24
3/14/2021,15,23
3/21/2021,47,24
3/28/2021,71,24
4/4/2021,15,24
4/11/2021,15,24
4/18/2021,48,15
4/25/2021,24,15
5/2/2021,15,15
5/9/2021,15,15
5/16/2021,50,15
5/23/2021,25,15
5/30/2021,26,15
6/6/2021,15,51
6/13/2021,15,25
6/20/2021,51,26
6/27/2021,51,15
7/4/2021,0,15
7/11/2021,26,15
7/18/2021,51,52
7/25/2021,15,52
8/1/2021,25,26
8/8/2021,51,26
